No.,Phase,State,PC Name,Electors,Poll (%),Votes
13,2,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247
14,2,"Jammu andKashmir",JAMMU,1780835,72.22,1286144
15,2,Karnataka,Bangalore central,2433751,54.06,1315612
16,2,Karnataka,Bangalore North,3214496,54.45,1750372
17,2,Karnataka,Bangalore Rural,2802580,68.3,1914030
18,2,Karnataka,Bangalore South,2341759,53.17,1245168
19,2,Karnataka,Chamarajanagar,1778310,76.82,1366015
20,2,Karnataka,Chikkballapur,1981347,77,1525718
21,2,Karnataka,Chitradurga,1856876,73.3,1361031
22,2,Karnataka,Dakshina Kannada,1817603,77.56,1409653
23,2,Karnataka,Hassan,1736610,77.68,1348966
24,2,Karnataka,Kolar,1726914,78.27,1351646
25,2,Karnataka,Mandya,1779243,81.67,1453060
26,2,Karnataka,Mysore,2092222,70.62,1477576
27,2,Karnataka,Tumkur,1661309,78.05,1296720
28,2,Karnataka,Udupi Chikmagalur,1585162,77.15,1222888
29,2,Kerala,Alappuzha,1400082,75.05,1050726
30,2,Kerala,Alathur,1337496,73.42,981945
31,2,Kerala,Attingal,1396807,69.48,970517
32,2,Kerala,Chalakudy,1310529,71.94,942787
33,2,Kerala,Ernakulam,1324047,68.29,904131
34,2,Kerala,Idukki,1250157,66.55,831936
35,2,Kerala,Kannur,1358368,77.21,1048839
36,2,Kerala,Kasaragod,1452230,76.04,1104331
37,2,Kerala,Kollam,1326648,68.15,904047
38,2,Kerala,Kottayam,1254823,65.61,823237
39,2,Kerala,Kozhikode,1429631,75.52,1079683
40,2,Kerala,Malappuram,1479921,72.95,1079547
41,2,Kerala,Mavelikkara,1331880,65.95,878360
42,2,Kerala,Palakkad,1398143,73.57,1028627
43,2,Kerala,Pathanamthitta,1429700,63.37,906051
44,2,Kerala,Ponnani,1470804,69.34,1019889
45,2,Kerala,Thiruvananthapuram,1430531,66.47,950829
46,2,Kerala,Thrissur,1483055,72.9,1081125
47,2,Kerala,Vadakara,1421883,78.41,1114950
48,2,Kerala,Wayanad,1462423,73.57,1075921
49,2,Madhya Pradesh,DAMOH,1925314,56.48,1087455
50,2,Madhya Pradesh,HOSHANGABAD,1855692,67.21,1247298
51,2,Madhya Pradesh,KHAJURAHO,1997483,56.97,1137867
52,2,Madhya Pradesh,REWA,1852126,49.43,915444
53,2,Madhya Pradesh,SATNA,1705260,61.94,1056175
54,2,Madhya Pradesh,TIKAMGARH,1826585,60,1096023
55,2,Maharashtra,Akola,1890814,61.79,1168366
56,2,Maharashtra,Amravati,1836078,63.67,1169121
57,2,Maharashtra,Buldhana,1782700,62.03,1105761
58,2,Maharashtra,Hingoli,1817734,63.54,1154958
59,2,Maharashtra,Nanded,1851843,60.94,1128564
60,2,Maharashtra,Parbhani,2123056,62.26,1321868
61,2,Maharashtra,Wardha,1682771,64.85,1091351
62,2,Maharashtra,Yavatmal- Washim,1940916,62.87,1220189
63,2,Manipur,Outer Manipur,484949,85.11,412737
64,2,Rajasthan,AJMER,1995699,59.66,1190561
65,2,Rajasthan,BANSWARA,2200438,73.88,1625731
66,2,Rajasthan,BARMER,2206237,75.93,1675276
67,2,Rajasthan,BHILWARA,2147159,60.37,1296228
68,2,Rajasthan,CHITTORGARH,2170167,68.61,1488898
70,2,Rajasthan,JHALAWAR-BARAN,2030525,69.71,1415420
71,2,Rajasthan,JODHPUR,2132713,64.27,1370616
72,2,Rajasthan,KOTA,2088023,71.26,1487879
73,2,Rajasthan,PALI,2343232,57.19,1339989
74,2,Rajasthan,RAJSAMAND,2060942,58.39,1203299
75,2,Rajasthan,"TONK-SAWAIMADHOPUR",2148128,56.58,1215309
76,2,Rajasthan,UDAIPUR,2230971,66.66,1487268
77,2,Tripura,Tripura East,1396761,80.36,1122424
78,2,Uttar Pradesh,Aligarh,1997234,56.93,1137051
79,2,Uttar Pradesh,Amroha,1716641,64.58,1108579
80,2,Uttar Pradesh,Baghpat,1653146,56.16,928392
81,2,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189
82,2,Uttar Pradesh,"Gautam BuddhaNagar",2675148,53.63,1434667
83,2,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260
84,2,Uttar Pradesh,Mathura,1929550,49.41,953388
85,2,Uttar Pradesh,Meerut,2000530,58.94,1179121
86,2,West Bengal,Balurghat,1561966,79.09,1235347
87,2,West Bengal,Darjeeling,1765744,74.76,1320072
88,2,West Bengal,Raiganj,1790245,76.18,1363854
1,3,Assam,Barpeta,1966847,85.24,1676633
2,3,Assam,Dhubri,2660827,92.08,2450041
3,3,Assam,Guwahati,2036846,78.39,1596664
4,3,Assam,Kokrajhar,1484571,83.55,1240306
5,3,Bihar,Araria,2018767,61.93,1250261
6,3,Bihar,Jhanjharpur,2003040,54.48,1091258
7,3,Bihar,Khagaria,1840217,57.52,1058539
8,3,Bihar,Madhepura,2071166,58.29,1207368
9,3,Bihar,Supaul,1927207,63.55,1224821
